suburb_name,commission_rate
"Kellyville, NSW",1.68
"Kellyville Ridge, NSW",1.72
"Rouse Hill, NSW",2.08
"Annangrove, NSW",1.65
"Glenhaven, NSW",1.65
"Kenthurst, NSW",1.65
"Canoelands, NSW",2.09
"Forest Glen, NSW",1.65
"Glenorie, NSW",1.65
"Dural, NSW",1.65
"Middle Dural, NSW",1.65
"Round Corner, NSW",1.65
"Arcadia, NSW",1.65
"Berrilee, NSW",1.65
"Fiddletown, NSW",1.65
"Galston, NSW",1.65
"Merrylands, NSW",1.83
"Merrylands West, NSW",1.84
"Guildford, NSW",1.78
"Guildford West, NSW",1.77
"Old Guildford, NSW",1.77
"Yennora, NSW",1.77
"Chester Hill, NSW",1.45
"Sefton, NSW",1.45
"Carramar, NSW",1.61
"Lansdowne, NSW",1.61
"Villawood, NSW",1.61
"Smithfield, NSW",1.61
"Smithfield West, NSW",1.61
"Wetherill Park, NSW",1.61
"Woodpark, NSW",1.61
"Fairfield, NSW",1.67
"Fairfield East, NSW",1.67
"Fairfield Heights, NSW",1.67
"Fairfield West, NSW",1.67
"Cabramatta, NSW",1.31
"Cabramatta West, NSW",1.32
"Canley Heights, NSW",1.32
"Canley Vale, NSW",1.32
"Lansvale, NSW",1.32
"Glenfield, NSW",1.61
"Ashcroft, NSW",1.99
"Busby, NSW",1.99
"Cartwright, NSW",1.99
"Green Valley, NSW",1.99
"Heckenberg, NSW",1.99
"Hinchinbrook, NSW",1.99
"Miller, NSW",1.99
"Sadleir, NSW",1.99
"Casula, NSW",1.70
"Casula Mall, NSW",1.66
"Chipping Norton, NSW",1.66
"Hammondville, NSW",1.66
"Liverpool, NSW",1.59
"Liverpool South, NSW",1.66
"Lurnea, NSW",1.66
"Moorebank, NSW",1.66
"Mount Pritchard, NSW",1.66
"Prestons, NSW",1.56
"Warwick Farm, NSW",1.66
"Cecil Hills, NSW",1.64
"Elizabeth Hills, NSW",1.64
"Horningsea Park, NSW",1.64
"Hoxton Park, NSW",1.64
"Len Waters Estate, NSW",1.64
"Middleton Grange, NSW",1.64
"West Hoxton, NSW",1.64
"Pleasure Point, NSW",1.59
"Sandy Point, NSW",1.59
"Voyager Point, NSW",1.59
"Holsworthy, NSW",1.61
"Wattle Grove, NSW",1.61
"Edmondson Park, NSW",1.60
"Ingleburn Milpo, NSW",1.60
"Horsley Park, NSW",1.84
"Abbotsbury, NSW",1.71
"Bossley Park, NSW",1.71
"Edensor Park, NSW",1.71
"Greenfield Park, NSW",1.71
"Prairiewood, NSW",1.71
"St Johns Park, NSW",1.71
"Wakeley, NSW",1.71
"Bonnyrigg, NSW",1.84
"Bonnyrigg Heights, NSW",1.84
"Cecil Park, NSW",1.84
"Kemps Creek, NSW",1.84
"Mount Vernon, NSW",1.84
"Austral, NSW",1.73
"Leppington, NSW",1.73
"Chullora, NSW",1.18
"Greenacre, NSW",1.18
"Mount Lewis, NSW",1.18
